AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key
55-64,A,150-174K,Homeowner,2 Adults No Kids,2,Unknown,1229
45-54,B,35-49K,Homeowner,2 Adults No Kids,2,Unknown,1234
35-44,Unknown,50-74K,Unknown,2 Adults Kids,3,1,1236
45-54,Unknown,Under 15K,Homeowner,2 Adults No Kids,2,Unknown,1240
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,1247
45-54,Unknown,50-74K,Unknown,1 Adult Kids,2,1,1248
45-54,Unknown,50-74K,Unknown,1 Adult Kids,2,1,1256
45-54,Unknown,50-74K,Homeowner,2 Adults Kids,3,1,1257
45-54,Unknown,75-99K,Homeowner,Unknown,1,Unknown,1258
65+,Unknown,50-74K,Homeowner,Single Male,1,Unknown,1260
45-54,A,25-34K,Homeowner,Single Female,2,Unknown,1261
25-34,B,15-24K,Unknown,Single Male,1,Unknown,1263
45-54,Unknown,15-24K,Unknown,Single Male,1,Unknown,1264
25-34,Unknown,75-99K,Unknown,Single Female,1,Unknown,1267
35-44,Unknown,Under 15K,Homeowner,2 Adults Kids,4,2,1268
45-54,Unknown,15-24K,Unknown,Single Female,1,Unknown,1270
65+,A,35-49K,Homeowner,Single Female,2,Unknown,1272
25-34,B,25-34K,Renter,1 Adult Kids,3,2,1285
55-64,A,35-49K,Homeowner,Single Male,2,Unknown,1291
65+,A,25-34K,Homeowner,Single Female,2,Unknown,1296
35-44,Unknown,75-99K,Homeowner,Unknown,1,Unknown,1297
35-44,Unknown,15-24K,Renter,2 Adults Kids,4,2,1299
45-54,A,50-74K,Homeowner,2 Adults Kids,4,2,1300
19-24,B,Under 15K,Renter,1 Adult Kids,2,1,1305
45-54,Unknown,Under 15K,Unknown,Unknown,1,Unknown,1306
55-64,Unknown,35-49K,Unknown,2 Adults No Kids,2,Unknown,1316
65+,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,1318
19-24,Unknown,35-49K,Unknown,2 Adults No Kids,2,Unknown,1321
45-54,Unknown,Under 15K,Homeowner,Single Male,1,Unknown,1326
45-54,Unknown,125-149K,Homeowner,2 Adults Kids,4,2,1333
45-54,Unknown,50-74K,Homeowner,2 Adults Kids,4,2,1337
35-44,Unknown,75-99K,Homeowner,2 Adults No Kids,2,Unknown,1352
65+,B,15-24K,Homeowner,2 Adults No Kids,2,Unknown,1354
55-64,A,25-34K,Homeowner,2 Adults No Kids,2,Unknown,1357
25-34,Unknown,15-24K,Unknown,1 Adult Kids,2,1,1363
65+,B,100-124K,Homeowner,Single Female,1,Unknown,1364
35-44,Unknown,75-99K,Homeowner,2 Adults Kids,3,1,1367
25-34,B,Under 15K,Probable Renter,Single Male,1,Unknown,1369
65+,Unknown,25-34K,Homeowner,2 Adults No Kids,2,Unknown,1370
55-64,Unknown,50-74K,Homeowner,Unknown,1,Unknown,1376
25-34,Unknown,100-124K,Unknown,Single Female,1,Unknown,1378
45-54,Unknown,50-74K,Homeowner,2 Adults No Kids,2,Unknown,1382
35-44,A,100-124K,Unknown,2 Adults Kids,3,1,1388
65+,A,100-124K,Homeowner,Single Female,2,Unknown,1389
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,1391
35-44,B,150-174K,Homeowner,Single Female,1,Unknown,1393
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,1394
65+,A,125-149K,Homeowner,2 Adults No Kids,2,Unknown,1396
45-54,B,35-49K,Renter,Single Female,1,Unknown,1397
55-64,Unknown,15-24K,Unknown,Single Male,1,Unknown,1402
45-54,A,50-74K,Homeowner,2 Adults Kids,3,1,1412
25-34,A,35-49K,Homeowner,2 Adults Kids,3,1,1418
35-44,Unknown,35-49K,Unknown,Single Female,1,Unknown,1419
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,1421
45-54,Unknown,15-24K,Unknown,Single Male,1,Unknown,1423
19-24,B,50-74K,Unknown,2 Adults Kids,3,1,1425
55-64,Unknown,35-49K,Unknown,2 Adults No Kids,2,Unknown,1428
45-54,B,35-49K,Renter,Single Female,1,Unknown,1429
35-44,A,35-49K,Homeowner,2 Adults Kids,3,1,1430
25-34,A,15-24K,Homeowner,1 Adult Kids,3,1,1437
45-54,Unknown,Under 15K,Unknown,Single Female,1,Unknown,1438
35-44,Unknown,150-174K,Unknown,2 Adults No Kids,2,Unknown,1443
35-44,A,Under 15K,Homeowner,2 Adults No Kids,2,Unknown,1445
45-54,A,125-149K,Homeowner,1 Adult Kids,5+,3+,1451
45-54,A,25-34K,Unknown,2 Adults Kids,3,1,1452
45-54,A,125-149K,Homeowner,2 Adults Kids,3,1,1453
65+,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,1454
35-44,Unknown,25-34K,Homeowner,2 Adults No Kids,2,Unknown,1461
25-34,A,50-74K,Renter,2 Adults No Kids,2,Unknown,1462
35-44,A,50-74K,Probable Owner,2 Adults Kids,4,2,1467
65+,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,1468
45-54,Unknown,35-49K,Unknown,Single Female,1,Unknown,1470
35-44,Unknown,50-74K,Homeowner,Unknown,1,Unknown,1474
25-34,B,50-74K,Homeowner,Single Male,1,Unknown,1475
45-54,Unknown,15-24K,Probable Renter,Unknown,1,Unknown,1479
19-24,Unknown,35-49K,Unknown,Single Male,1,Unknown,1481
19-24,Unknown,Under 15K,Unknown,Unknown,1,Unknown,1483
19-24,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,1484
35-44,Unknown,50-74K,Homeowner,Single Male,1,Unknown,1485
25-34,A,50-74K,Probable Owner,Single Female,2,Unknown,1488
65+,Unknown,35-49K,Homeowner,2 Adults No Kids,2,Unknown,1491
65+,A,15-24K,Homeowner,2 Adults No Kids,2,Unknown,1492
65+,B,25-34K,Unknown,Single Female,1,Unknown,1494
55-64,A,15-24K,Homeowner,2 Adults No Kids,2,Unknown,1499
45-54,Unknown,25-34K,Unknown,Single Female,1,Unknown,1505
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,1509
45-54,A,50-74K,Homeowner,2 Adults Kids,4,2,1517
45-54,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,1524
25-34,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,1527
35-44,B,125-149K,Unknown,Single Female,1,Unknown,1528
45-54,Unknown,50-74K,Unknown,Single Male,1,Unknown,1529
25-34,A,75-99K,Renter,2 Adults Kids,3,1,1534
45-54,Unknown,50-74K,Unknown,Unknown,1,Unknown,1536
19-24,A,35-49K,Renter,2 Adults Kids,3,1,1537
45-54,Unknown,15-24K,Unknown,2 Adults Kids,4,2,1540
35-44,Unknown,50-74K,Unknown,Unknown,1,Unknown,1541
45-54,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,1545
45-54,Unknown,15-24K,Homeowner,Unknown,1,Unknown,1549
45-54,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,1556
25-34,A,100-124K,Renter,1 Adult Kids,4,2,1557
45-54,A,75-99K,Homeowner,Unknown,3,1,1563
35-44,Unknown,75-99K,Homeowner,2 Adults No Kids,2,Unknown,1566
45-54,Unknown,15-24K,Renter,Single Male,1,Unknown,1567
55-64,B,35-49K,Homeowner,Single Female,1,Unknown,1568
35-44,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,1572
45-54,Unknown,15-24K,Unknown,2 Adults No Kids,2,Unknown,1578
19-24,B,50-74K,Unknown,2 Adults No Kids,2,Unknown,1580
45-54,B,150-174K,Homeowner,Single Female,1,Unknown,1585
35-44,Unknown,50-74K,Homeowner,Unknown,1,Unknown,1588
25-34,Unknown,25-34K,Unknown,Single Female,1,Unknown,1591
45-54,Unknown,50-74K,Homeowner,Single Male,1,Unknown,1595
35-44,Unknown,35-49K,Probable Owner,2 Adults No Kids,2,Unknown,1604
45-54,A,125-149K,Homeowner,2 Adults Kids,5+,3+,1609
35-44,A,75-99K,Homeowner,Single Female,2,Unknown,1618
25-34,Unknown,35-49K,Unknown,Single Male,1,Unknown,1627
19-24,B,Under 15K,Renter,1 Adult Kids,4,3+,1631
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,1633
25-34,A,35-49K,Homeowner,2 Adults Kids,5+,3+,1634
35-44,Unknown,15-24K,Probable Renter,Single Female,1,Unknown,1648
35-44,B,150-174K,Homeowner,Single Male,1,Unknown,1649
45-54,A,75-99K,Homeowner,2 Adults Kids,3,1,1650
35-44,B,Under 15K,Homeowner,Single Female,1,Unknown,1653
35-44,Unknown,150-174K,Homeowner,2 Adults No Kids,2,Unknown,1662
35-44,Unknown,75-99K,Unknown,2 Adults No Kids,2,Unknown,1676
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,1677
45-54,Unknown,75-99K,Unknown,Single Female,1,Unknown,1678
25-34,A,15-24K,Homeowner,2 Adults Kids,3,1,1680
45-54,Unknown,15-24K,Homeowner,2 Adults No Kids,2,Unknown,1686
45-54,Unknown,50-74K,Unknown,Unknown,1,Unknown,1689
35-44,Unknown,50-74K,Unknown,Unknown,1,Unknown,1692
25-34,A,35-49K,Homeowner,2 Adults Kids,3,1,1693
35-44,Unknown,15-24K,Probable Renter,Single Female,1,Unknown,1694
35-44,Unknown,25-34K,Homeowner,Single Male,1,Unknown,1695
45-54,A,50-74K,Homeowner,2 Adults Kids,3,1,1696
35-44,B,25-34K,Unknown,Single Female,1,Unknown,1707
45-54,Unknown,25-34K,Unknown,Single Female,1,Unknown,1708
25-34,A,35-49K,Unknown,2 Adults Kids,3,1,1709
35-44,A,150-174K,Homeowner,Single Male,2,Unknown,1710
45-54,Unknown,50-74K,Unknown,Unknown,1,Unknown,1720
45-54,Unknown,15-24K,Unknown,2 Adults No Kids,2,Unknown,1722
55-64,Unknown,75-99K,Homeowner,Single Female,1,Unknown,1726
19-24,Unknown,250K+,Unknown,Single Female,1,Unknown,1740
45-54,A,Under 15K,Unknown,Single Male,2,Unknown,1745
45-54,Unknown,35-49K,Unknown,Single Male,1,Unknown,1748
55-64,B,35-49K,Homeowner,Single Male,1,Unknown,1749
25-34,A,15-24K,Renter,2 Adults Kids,4,2,1751
45-54,Unknown,35-49K,Homeowner,Unknown,1,Unknown,1753
35-44,Unknown,35-49K,Unknown,2 Adults Kids,5+,3+,1759
45-54,A,125-149K,Homeowner,2 Adults Kids,5+,3+,1762
45-54,A,75-99K,Homeowner,2 Adults Kids,4,2,1764
45-54,Unknown,35-49K,Unknown,Single Male,1,Unknown,1765
45-54,A,75-99K,Homeowner,2 Adults Kids,5+,3+,1775
25-34,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,1778
65+,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,1779
25-34,A,35-49K,Homeowner,2 Adults Kids,5+,3+,1785
35-44,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,1788
45-54,B,100-124K,Homeowner,2 Adults No Kids,2,Unknown,1791
45-54,Unknown,25-34K,Homeowner,2 Adults No Kids,2,Unknown,1795
19-24,Unknown,35-49K,Unknown,Single Female,1,Unknown,1796
65+,Unknown,Under 15K,Homeowner,Single Female,1,Unknown,1797
35-44,A,175-199K,Homeowner,2 Adults No Kids,2,Unknown,1800
45-54,Unknown,150-174K,Homeowner,2 Adults No Kids,2,Unknown,1802
19-24,A,50-74K,Homeowner,2 Adults Kids,3,1,1803
65+,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,1804
45-54,Unknown,50-74K,Unknown,Single Female,1,Unknown,1812
65+,Unknown,150-174K,Homeowner,2 Adults No Kids,2,Unknown,1814
45-54,Unknown,25-34K,Unknown,2 Adults No Kids,2,Unknown,1815
19-24,B,Under 15K,Renter,2 Adults Kids,5+,3+,1816
45-54,A,150-174K,Homeowner,2 Adults No Kids,2,Unknown,1820
55-64,Unknown,35-49K,Unknown,2 Adults No Kids,2,Unknown,1822
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,1823
65+,A,75-99K,Homeowner,Single Female,2,Unknown,1829
55-64,Unknown,75-99K,Homeowner,Single Male,1,Unknown,1831
25-34,Unknown,25-34K,Homeowner,1 Adult Kids,5+,3+,1833
45-54,Unknown,125-149K,Homeowner,Unknown,5+,3+,1834
45-54,B,35-49K,Homeowner,2 Adults No Kids,2,Unknown,1841
45-54,A,250K+,Homeowner,2 Adults No Kids,2,Unknown,1844
45-54,Unknown,175-199K,Unknown,2 Adults Kids,3,1,1845
45-54,Unknown,175-199K,Unknown,Single Female,1,Unknown,1847
45-54,A,75-99K,Homeowner,Unknown,3,1,1848
65+,A,75-99K,Homeowner,Single Female,2,Unknown,1850
25-34,B,150-174K,Homeowner,Single Female,1,Unknown,1858
25-34,Unknown,15-24K,Homeowner,2 Adults Kids,4,2,1861
45-54,Unknown,125-149K,Homeowner,1 Adult Kids,5+,3+,1864
45-54,Unknown,50-74K,Homeowner,Unknown,1,Unknown,1865
19-24,A,35-49K,Renter,2 Adults No Kids,2,Unknown,1869
35-44,Unknown,15-24K,Unknown,Single Male,1,Unknown,1873
65+,A,35-49K,Unknown,Single Male,2,Unknown,1879
35-44,A,35-49K,Homeowner,2 Adults Kids,3,1,1892
35-44,A,100-124K,Homeowner,2 Adults No Kids,2,Unknown,1894
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,1896
25-34,A,25-34K,Homeowner,2 Adults Kids,3,1,1899
45-54,Unknown,35-49K,Homeowner,2 Adults Kids,3,1,1901
25-34,B,50-74K,Unknown,Single Male,1,Unknown,1907
35-44,A,50-74K,Unknown,Single Male,2,Unknown,1911
55-64,B,75-99K,Homeowner,Single Female,1,Unknown,1914
65+,Unknown,15-24K,Unknown,Single Female,1,Unknown,1917
35-44,A,35-49K,Homeowner,1 Adult Kids,5+,3+,1919
55-64,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,1920
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,1921
19-24,B,35-49K,Renter,Single Female,1,Unknown,1923
25-34,Unknown,35-49K,Homeowner,2 Adults No Kids,2,Unknown,1926
19-24,Unknown,Under 15K,Unknown,Unknown,1,Unknown,1927
35-44,B,75-99K,Homeowner,2 Adults Kids,3,1,1928
35-44,B,25-34K,Homeowner,Single Male,1,Unknown,1929
45-54,Unknown,50-74K,Homeowner,Unknown,1,Unknown,1931
55-64,A,150-174K,Homeowner,2 Adults No Kids,2,Unknown,1935
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,1937
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,1939
25-34,Unknown,125-149K,Homeowner,2 Adults Kids,4,2,1944
25-34,Unknown,75-99K,Unknown,Single Male,1,Unknown,1946
35-44,Unknown,50-74K,Homeowner,Single Female,1,Unknown,1948
45-54,Unknown,Under 15K,Unknown,Single Female,1,Unknown,1949
45-54,Unknown,50-74K,Homeowner,Unknown,1,Unknown,1953
25-34,Unknown,35-49K,Unknown,Single Male,1,Unknown,1955
65+,Unknown,25-34K,Unknown,2 Adults No Kids,2,Unknown,1962
65+,Unknown,Under 15K,Renter,Single Male,1,Unknown,1964
25-34,A,50-74K,Homeowner,2 Adults Kids,3,1,1965
35-44,B,75-99K,Renter,Single Male,1,Unknown,1975
25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+,1976
45-54,Unknown,150-174K,Unknown,2 Adults Kids,3,1,1979
55-64,A,50-74K,Homeowner,Single Female,2,Unknown,1980
25-34,Unknown,100-124K,Unknown,Single Male,1,Unknown,1982
25-34,Unknown,50-74K,Unknown,Unknown,5+,3+,1985
65+,Unknown,15-24K,Homeowner,Single Female,1,Unknown,1989
35-44,A,125-149K,Homeowner,2 Adults Kids,5+,3+,1990
25-34,B,25-34K,Unknown,1 Adult Kids,3,2,1995
25-34,Unknown,50-74K,Unknown,Single Male,1,Unknown,1997
35-44,Unknown,35-49K,Homeowner,Single Female,1,Unknown,2002
45-54,Unknown,50-74K,Unknown,Unknown,1,Unknown,2004
45-54,Unknown,Under 15K,Unknown,Single Male,1,Unknown,2006
45-54,A,50-74K,Homeowner,2 Adults Kids,3,1,2007
45-54,Unknown,75-99K,Homeowner,Single Male,1,Unknown,2011
45-54,A,25-34K,Renter,Single Male,2,Unknown,2012
19-24,Unknown,25-34K,Unknown,Single Female,1,Unknown,2013
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,2017
45-54,Unknown,50-74K,Unknown,Unknown,1,Unknown,2018
35-44,A,100-124K,Unknown,2 Adults Kids,5+,3+,2020
45-54,Unknown,35-49K,Homeowner,2 Adults Kids,3,1,2023
25-34,B,125-149K,Homeowner,2 Adults No Kids,2,Unknown,2024
35-44,B,75-99K,Homeowner,Single Female,1,Unknown,2030
25-34,Unknown,25-34K,Homeowner,Single Male,1,Unknown,2040
35-44,B,35-49K,Renter,2 Adults No Kids,2,Unknown,2041
35-44,A,25-34K,Homeowner,2 Adults Kids,5+,3+,2050
45-54,A,15-24K,Homeowner,2 Adults No Kids,2,Unknown,2053
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,2057
25-34,B,125-149K,Homeowner,2 Adults No Kids,2,Unknown,2058
25-34,Unknown,25-34K,Unknown,2 Adults No Kids,2,Unknown,2062
55-64,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,2063
19-24,Unknown,50-74K,Unknown,Single Female,1,Unknown,2064
55-64,A,50-74K,Homeowner,Single Female,2,Unknown,2068
35-44,Unknown,15-24K,Unknown,Single Female,1,Unknown,2069
45-54,Unknown,50-74K,Unknown,Unknown,1,Unknown,2070
25-34,A,100-124K,Homeowner,2 Adults Kids,3,1,2076
45-54,A,Under 15K,Homeowner,2 Adults Kids,3,1,2082
55-64,A,125-149K,Homeowner,2 Adults No Kids,2,Unknown,2084
35-44,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,2085
45-54,A,25-34K,Homeowner,2 Adults No Kids,2,Unknown,2086
45-54,B,100-124K,Homeowner,Unknown,1,Unknown,2087
25-34,Unknown,35-49K,Unknown,Single Female,1,Unknown,2088
35-44,A,Under 15K,Homeowner,1 Adult Kids,3,1,2092
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,2094
35-44,A,15-24K,Homeowner,2 Adults Kids,5+,3+,2097
65+,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,2100
55-64,A,175-199K,Homeowner,2 Adults No Kids,2,Unknown,2102
35-44,A,75-99K,Homeowner,2 Adults Kids,5+,3+,2107
35-44,A,125-149K,Homeowner,2 Adults No Kids,2,Unknown,2110
45-54,Unknown,75-99K,Homeowner,2 Adults No Kids,2,Unknown,2111
45-54,A,35-49K,Homeowner,2 Adults Kids,5+,3+,2112
35-44,A,150-174K,Homeowner,2 Adults Kids,5+,3+,2115
35-44,A,75-99K,Homeowner,2 Adults Kids,5+,3+,2116
25-34,Unknown,50-74K,Homeowner,Single Male,1,Unknown,2119
55-64,B,35-49K,Homeowner,2 Adults No Kids,2,Unknown,2121
45-54,Unknown,75-99K,Homeowner,2 Adults No Kids,2,Unknown,2123
25-34,A,50-74K,Homeowner,2 Adults Kids,4,2,2124
25-34,Unknown,35-49K,Unknown,1 Adult Kids,2,1,2129
25-34,B,50-74K,Homeowner,Single Female,1,Unknown,2130
55-64,A,100-124K,Unknown,2 Adults No Kids,2,Unknown,2133
35-44,Unknown,35-49K,Unknown,Single Female,1,Unknown,2134
65+,A,15-24K,Homeowner,2 Adults No Kids,2,Unknown,2140
25-34,A,75-99K,Homeowner,2 Adults Kids,3,1,2147
55-64,A,35-49K,Homeowner,2 Adults Kids,4,2,2148
45-54,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,2154
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,2156
25-34,B,50-74K,Probable Renter,Single Female,1,Unknown,2158
45-54,Unknown,75-99K,Homeowner,Unknown,1,Unknown,2162
35-44,Unknown,50-74K,Unknown,Single Female,1,Unknown,2168
25-34,A,100-124K,Homeowner,2 Adults No Kids,2,Unknown,2172
25-34,Unknown,35-49K,Unknown,2 Adults No Kids,2,Unknown,2173
45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,2179
55-64,A,100-124K,Homeowner,2 Adults Kids,3,1,2181
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,2182
65+,A,25-34K,Homeowner,2 Adults No Kids,2,Unknown,2183
25-34,Unknown,50-74K,Unknown,Single Female,1,Unknown,2184
25-34,Unknown,125-149K,Homeowner,2 Adults Kids,4,2,2185
35-44,Unknown,25-34K,Unknown,Single Female,1,Unknown,2186
65+,B,35-49K,Homeowner,2 Adults No Kids,2,Unknown,2188
35-44,A,50-74K,Homeowner,2 Adults Kids,4,2,2190
25-34,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,2193
55-64,B,25-34K,Homeowner,Single Male,1,Unknown,2194
35-44,B,25-34K,Unknown,Single Female,1,Unknown,2198
19-24,Unknown,50-74K,Unknown,2 Adults Kids,3,1,2199
45-54,Unknown,Under 15K,Unknown,Single Male,1,Unknown,2200
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,2203
35-44,Unknown,50-74K,Unknown,1 Adult Kids,3,2,2208
25-34,A,35-49K,Renter,2 Adults Kids,5+,3+,2209
35-44,B,15-24K,Unknown,Single Female,1,Unknown,2217
65+,B,35-49K,Homeowner,Single Male,1,Unknown,2221
19-24,B,250K+,Homeowner,Single Male,1,Unknown,2224
35-44,A,200-249K,Homeowner,2 Adults No Kids,2,Unknown,2231
25-34,B,150-174K,Homeowner,Single Male,1,Unknown,2233
65+,A,Under 15K,Homeowner,2 Adults No Kids,2,Unknown,2234
45-54,Unknown,175-199K,Homeowner,2 Adults Kids,3,1,2235
45-54,Unknown,50-74K,Homeowner,Single Female,1,Unknown,2237
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,2243
35-44,Unknown,75-99K,Unknown,Unknown,1,Unknown,2250
45-54,A,50-74K,Homeowner,2 Adults Kids,4,2,2252
19-24,Unknown,35-49K,Unknown,Single Male,1,Unknown,2254
45-54,Unknown,25-34K,Homeowner,Single Female,1,Unknown,2260
45-54,A,250K+,Homeowner,2 Adults No Kids,2,Unknown,2264
25-34,B,35-49K,Homeowner,Single Male,1,Unknown,2266
55-64,A,35-49K,Homeowner,2 Adults No Kids,2,Unknown,2269
65+,A,25-34K,Homeowner,2 Adults No Kids,2,Unknown,2272
25-34,Unknown,50-74K,Unknown,2 Adults No Kids,2,Unknown,2279
35-44,Unknown,15-24K,Homeowner,2 Adults Kids,3,1,2280
55-64,B,175-199K,Homeowner,Single Female,1,Unknown,2282
45-54,A,250K+,Homeowner,2 Adults No Kids,2,Unknown,2284
45-54,A,35-49K,Renter,2 Adults Kids,5+,3+,2292
45-54,B,25-34K,Renter,2 Adults Kids,4,2,2294
35-44,B,35-49K,Renter,Single Male,1,Unknown,2295
35-44,Unknown,125-149K,Homeowner,2 Adults No Kids,2,Unknown,2296
65+,A,50-74K,Probable Renter,Single Female,2,Unknown,2298
45-54,Unknown,50-74K,Homeowner,2 Adults No Kids,2,Unknown,2300
35-44,A,35-49K,Homeowner,1 Adult Kids,3,1,2302
45-54,B,50-74K,Homeowner,Single Female,1,Unknown,2305
45-54,A,75-99K,Homeowner,2 Adults Kids,3,1,2307
45-54,A,250K+,Homeowner,2 Adults No Kids,2,Unknown,2312
45-54,A,125-149K,Homeowner,2 Adults No Kids,2,Unknown,2314
35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+,2317
19-24,Unknown,Under 15K,Unknown,Single Female,1,Unknown,2318
45-54,Unknown,175-199K,Homeowner,Single Male,1,Unknown,2322
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,2324
45-54,Unknown,250K+,Homeowner,2 Adults No Kids,2,Unknown,2328
45-54,Unknown,50-74K,Homeowner,Unknown,1,Unknown,2330
35-44,A,35-49K,Homeowner,2 Adults Kids,5+,3+,2331
35-44,Unknown,50-74K,Homeowner,Unknown,1,Unknown,2334
65+,Unknown,Under 15K,Homeowner,1 Adult Kids,3,2,2337
45-54,Unknown,50-74K,Homeowner,Unknown,1,Unknown,2341
55-64,Unknown,100-124K,Homeowner,Unknown,1,Unknown,2342
19-24,Unknown,50-74K,Unknown,Single Male,1,Unknown,2343
45-54,Unknown,35-49K,Unknown,2 Adults No Kids,2,Unknown,2347
45-54,A,75-99K,Homeowner,2 Adults No Kids,2,Unknown,2351
45-54,A,25-34K,Homeowner,2 Adults No Kids,2,Unknown,2359
25-34,B,50-74K,Homeowner,Unknown,1,Unknown,2360
25-34,Unknown,35-49K,Unknown,2 Adults No Kids,2,Unknown,2361
45-54,A,25-34K,Renter,2 Adults No Kids,2,Unknown,2364
45-54,Unknown,Under 15K,Unknown,2 Adults No Kids,2,Unknown,2367
25-34,A,Under 15K,Homeowner,2 Adults No Kids,2,Unknown,2370
45-54,Unknown,150-174K,Homeowner,2 Adults No Kids,2,Unknown,2374
45-54,Unknown,35-49K,Unknown,Single Female,1,Unknown,2376
25-34,A,50-74K,Unknown,2 Adults Kids,5+,3+,2378
45-54,Unknown,50-74K,Homeowner,Unknown,1,Unknown,2380
25-34,A,50-74K,Unknown,Single Female,2,Unknown,2390
35-44,Unknown,75-99K,Homeowner,Single Male,1,Unknown,2393
65+,B,125-149K,Unknown,2 Adults No Kids,2,Unknown,2397
35-44,A,25-34K,Homeowner,2 Adults Kids,3,1,2400
25-34,Unknown,15-24K,Unknown,Single Female,1,Unknown,2405
25-34,A,125-149K,Homeowner,2 Adults Kids,3,1,2406
45-54,A,100-124K,Homeowner,2 Adults No Kids,2,Unknown,2407
65+,A,Under 15K,Homeowner,2 Adults No Kids,2,Unknown,2411
45-54,Unknown,15-24K,Unknown,2 Adults Kids,3,1,2420
45-54,A,150-174K,Homeowner,2 Adults Kids,5+,3+,2421
19-24,Unknown,Under 15K,Probable Renter,Single Female,1,Unknown,2426
35-44,A,50-74K,Homeowner,2 Adults Kids,3,1,2427
19-24,Unknown,35-49K,Unknown,Single Female,1,Unknown,2432
45-54,Unknown,50-74K,Homeowner,1 Adult Kids,5+,3+,2435
35-44,A,125-149K,Homeowner,2 Adults Kids,5+,3+,2437
45-54,Unknown,35-49K,Unknown,Unknown,1,Unknown,2445
35-44,Unknown,125-149K,Homeowner,2 Adults No Kids,2,Unknown,2446
35-44,A,25-34K,Homeowner,2 Adults No Kids,2,Unknown,2447
45-54,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,2448
35-44,A,175-199K,Homeowner,2 Adults Kids,5+,3+,2449
45-54,B,50-74K,Homeowner,Single Female,1,Unknown,2453
45-54,B,25-34K,Homeowner,2 Adults No Kids,2,Unknown,2455
65+,A,15-24K,Homeowner,Single Female,2,Unknown,2465
35-44,A,75-99K,Homeowner,2 Adults Kids,3,1,2467
25-34,Unknown,150-174K,Homeowner,2 Adults No Kids,2,Unknown,2479
45-54,B,75-99K,Homeowner,Single Male,1,Unknown,2483
35-44,B,25-34K,Unknown,Single Male,1,Unknown,2486
45-54,B,35-49K,Homeowner,Single Female,1,Unknown,2488
35-44,A,50-74K,Homeowner,2 Adults No Kids,2,Unknown,2489
35-44,Unknown,50-74K,Homeowner,2 Adults No Kids,2,Unknown,2494
45-54,A,75-99K,Homeowner,Unknown,3,1,2496
45-54,Unknown,35-49K,Unknown,Single Male,1,Unknown,2497
25-34,Unknown,50-74K,Homeowner,2 Adults No Kids,2,Unknown,2498
25-34,Unknown,Under 15K,Unknown,2 Adults Kids,3,1,2499
